# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|FSR 1530         |10 08 58|-57 17.1|      0.018|         0.060|         0.095|        |             |    4153|  8.800|             |            |                                  OPEN STAR CLUSTER|
|Lynga 3          |15 16 50|-58 20.4|      0.015|         0.060|         0.105|        |             |    4164|  8.915|             |            |                                  OPEN STAR CLUSTER|
|FSR 1339         |08 01 43|-30 42.6|      0.022|         0.060|         0.120|        |             |    4167|  8.990|        0.021|            |                                  OPEN STAR CLUSTER|
|Loden 1177       |13 59 06|-57 52.5|      0.020|         0.078|         0.140|        |             |    4167|  9.175|        0.019|dub         |                                  OPEN STAR CLUSTER|
|FSR 1401         |08 37 03|-42 21.9|      0.015|         0.065|         0.115|        |             |    4178|  6.750|             |            |                                  OPEN STAR CLUSTER|
|FSR 1228         |07 17 11|-15 47.7|      0.018|         0.065|         0.125|        |             |    4186|  6.750|             |            |                                  OPEN STAR CLUSTER|
|FSR 1283         |07 24 54|-23 52.3|      0.012|         0.060|         0.110|        |             |    4192|  6.800|             |            |                                  OPEN STAR CLUSTER|
|NGC 6827         |19 48 51|+21 12.9|      0.010|         0.035|         0.070|        |             |    4192|  9.060|        0.100|            |                                  OPEN STAR CLUSTER|
|FSR 0859         |06 21 48|+27 06.0|      0.012|         0.055|         0.080|        |             |    4193|  8.990|        0.034|            |                                  OPEN STAR CLUSTER|
|NGC 6843         |19 56 11|+12 10.9|      0.017|         0.060|         0.100|        |             |    4200|  9.260|             |non         |                                  OPEN STAR CLUSTER|
|DBSB 149         |15 54 09|-53 10.8|      0.015|         0.028|         0.045|  -93.55|             |    4204|  6.400|             |irc         |                                             NEBULA|
|FSR 0083         |19 30 51|-10 34.7|      0.015|         0.055|         0.085|        |             |    4213|  9.400|             |            |                                  OPEN STAR CLUSTER|
|Teutsch 143a     |11 08 46|-60 42.3|      0.010|         0.060|         0.100|   11.00|         3.70|    4231|  6.600|             |            |                                  OPEN STAR CLUSTER|
|FSR 1658         |13 55 03|-70 45.0|      0.018|         0.075|         0.147|        |             |    4239|  9.550|             |            |                                  OPEN STAR CLUSTER|
|Haffner 25       |07 48 40|-25 57.2|      0.015|         0.045|         0.090|        |             |    4244|  8.460|        0.036|non         |                                  OPEN STAR CLUSTER|
|W 42             |18 38 15|-06 47.8|      0.012|         0.045|         0.070|        |             |    4261|  6.000|             |irc         |                                             NEBULA|
|ESO 313-03       |08 31 38|-41 47.2|      0.010|         0.050|         0.105|        |             |    4269|  8.600|             |            |                                  OPEN STAR CLUSTER|
|ESO 211-03       |08 51 36|-50 14.7|      0.010|         0.075|         0.155|        |             |    4269|  9.035|        0.018|            |                                  OPEN STAR CLUSTER|
|BDSB 114         |18 14 39|-17 52.9|      0.012|         0.045|         0.070|   24.77|             |    4269|  6.335|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 0095         |18 10 04|+04 13.3|      0.012|         0.070|         0.115|        |             |    4297|  9.350|             |            |                                  OPEN STAR CLUSTER|
|FSR 1748         |16 36 35|-35 00.9|      0.015|         0.055|         0.100|        |             |    4298|  9.700|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4547        |20 12 13|+01 31.5|      0.020|         0.105|         0.165|        |             |    4298|  9.200|             |            |                                  OPEN STAR CLUSTER|
|DC 3             |07 27 00|-37 31.5|      0.020|         0.055|         0.100|        |             |    4317|  9.260|             |            |                                  OPEN STAR CLUSTER|
|NGC 2425         |07 38 15|-14 52.8|      0.020|         0.090|         0.160|  102.90|         1.20|    4330|  9.340|             |            |                                  OPEN STAR CLUSTER|
|FSR 1661         |13 57 56|-69 21.9|      0.012|         0.060|         0.100|        |             |    4331|  9.400|             |            |                                  OPEN STAR CLUSTER|
|FSR 1211         |07 41 31|-09 36.6|      0.018|         0.075|         0.155|        |             |    4332|  9.135|             |            |                                  OPEN STAR CLUSTER|
|FSR 1243         |07 34 31|-15 56.1|      0.015|         0.075|         0.130|        |             |    4336|  6.700|             |irc         |                                  OPEN STAR CLUSTER|
|Czernik 27       |07 03 07|+06 24.8|      0.015|         0.050|         0.085|        |             |    4338|  8.995|             |            |                                  OPEN STAR CLUSTER|
|FSR 0022         |17 56 26|-23 11.5|      0.012|         0.075|         0.125|        |             |    4340|  9.650|             |irc         |                                  OPEN STAR CLUSTER|
|DBSB 19          |08 35 28|-40 37.8|      0.010|         0.035|         0.085|        |             |    4350|  6.000|             |irc         |                                             NEBULA|
|FSR 1772         |16 31 03|-24 16.5|      0.025|         0.230|         0.400|        |             |    4350|  9.400|             |            |                                  OPEN STAR CLUSTER|
|BDSB 8           |18 24 45|-13 23.8|      0.010|         0.066|         0.100|        |             |    4360|  6.150|             |            |                                             NEBULA|
|DBSB 102         |16 15 01|-49 51.0|      0.018|         0.040|         0.060|  -47.60|             |    4362|  6.100|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 2141         |06 02 55|+10 27.6|      0.013|         0.090|         0.190|   43.25|         3.09|    4364|  9.245|             |            |                                  OPEN STAR CLUSTER|
|Kronberger 39    |10 54 14|-61 44.0|      0.012|         0.035|         0.052|        |             |    4372|  6.000|             |            |                                  OPEN STAR CLUSTER|
|DBSB 9           |07 31 46|-19 22.5|      0.010|         0.055|         0.085|        |             |    4389|  6.000|             |irc         |                                  OPEN STAR CLUSTER|
|Poole J1856+10.8 |18 55 53|+10 46.4|      0.012|         0.050|         0.075|        |             |    4389|  8.975|        0.067|            |                                  OPEN STAR CLUSTER|
|FSR 0154         |19 47 59|+23 20.2|      0.018|         0.080|         0.125|        |             |    4394|  7.000|             |irc         |                                  OPEN STAR CLUSTER|
|Ruprecht 75      |09 21 55|-56 19.0|      0.018|         0.045|         0.085|        |             |    4405|  9.090|        0.031|            |                                  OPEN STAR CLUSTER|
|NGC 6254         |16 57 09|-04 06.0|      0.060|         0.155|         0.265|   75.20|         0.70|    4405| 10.100|             |glo         |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|FSR 0051         |18 13 04|-13 19.5|      0.012|         0.055|         0.110|        |             |    4415|  6.100|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1595         |11 47 01|-62 39.0|      0.012|         0.070|         0.140|    0.00|         7.40|    4416|  6.350|             |irc         |                                  OPEN STAR CLUSTER|
|Ruprecht 32      |07 45 20|-25 32.7|      0.015|         0.060|         0.093|   83.00|             |    4417|  6.700|             |            |                                             NEBULA|
